,name,count
170,HS1_,1826
64,SPE397_,1699
163,HS55_,1637
13,HS52_,1023
175,HS2_,771
134,HS53_,522
176,386_,377
96,SPE386_,362
82,HS7_,354
94,HS54_,301
131,HS0_,264
183,476_,211
18,882_,186
128,578_,185
116,555_,184
122,494_,180
118,482_,150
104,883_,130
28,558_,129
51,481_,127
137,589_,115
140,563_,115
31,865_,112
2,561_,98
89,576_,90
12,863_,89
155,362_,79
67,869_,76
126,564_,73
73,472_,70
115,317_,68
25,379_,67
16,383_,65
77,480_,64
24,467_,63
147,864_,62
150,319_,60
49,475_,58
58,572_,58
81,584_,56
136,443_,52
27,Negative.Control.2_,51
5,473_,47
100,884_,47
124,586_,46
30,486_,46
172,892_,46
34,871_,46
146,485_,45
91,465_,45
97,483_,44
168,469_,44
158,904_,43
46,889_,43
3,299_,42
95,611_,41
166,605_,41
114,902_,41
56,309_,41
53,888_,40
63,366_,40
171,602_,39
6,559_,39
162,1204_,39
112,877_,38
15,488_,38
7,279_,37
50,895_,36
29,582_,35
33,590_,35
79,896_,35
102,269_,34
105,466_,33
145,471_,33
138,566_,33
42,447_,32
174,363_,32
9,585_,32
84,612_,31
129,599_,30
167,323_,28
173,867_,28
180,286_,28
88,454_,28
92,868_,28
26,598_,28
48,301_,28
21,313_,27
54,872_,27
45,457_,27
70,315_,26
113,360_,26
72,441_,26
109,893_,26
135,603_,26
44,898_,26
40,608_,26
154,312_,24
85,909_,23
130,380_,21
127,1223_,21
17,906_,21
123,894_,21
65,358_,20
86,394_,20
38,392_,19
178,306_,18
93,448_,18
76,338_,18
32,1217_,18
121,910_,18
120,474_,18
160,879_,17
107,266_,17
66,283_,17
156,587_,16
4,487_,16
14,393_,16
108,1222_,16
19,364_,16
10,1214_,16
101,595_,16
87,377_,15
142,613_,15
20,1206_,15
36,371_,15
153,1216_,14
71,567_,14
125,1213_,14
117,444_,14
39,1207_,13
8,897_,13
139,903_,13
149,885_,13
141,401_,11
22,575_,11
52,1224_,11
37,1227_,11
11,464_,11
69,866_,10
83,606_,10
181,385_,9
157,305_,9
144,583_,9
164,451_,8
132,456_,8
106,669_,8
55,1208_,8
60,875_,8
80,596_,7
152,601_,7
57,1212_,7
159,370_,7
165,400_,6
1,440_,6
151,1203_,6
75,666_,6
98,1210_,6
182,588_,6
23,297_,5
179,390_,5
0,452_,5
148,336_,5
143,439_,5
90,670_,5
74,556_,4
177,911_,4
161,573_,3
110,442_,3
99,388_,3
103,449_,3
47,Negative.Control.1_,3
119,453_,3
35,862_,2
111,880_,2
68,577_,2
59,478_,2
133,1220_,2
78,873_,2
61,395_,1
169,1211_,1
43,402_,1
41,365_,1
62,870_,1
